Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Loading:listar-criadores,1500,6085,2039,10081,2192.31,0.000%,73.29229,27094.28,9.09,378546.6
Loading:listar-quadrinhos,1500,6747,24,16226,3770.35,0.000%,49.39898,34283.20,6.03,710662.4
Loading:listar-personagens,1500,5963,0,15905,3917.86,8.600%,43.96506,12049.55,5.06,280648.7
Loading:get-by-id-character,1500,3767,0,14180,3433.27,4.200%,41.54089,15.72,5.13,387.5
Loading:get-by-id-comic,1500,2723,0,14118,2986.76,1.333%,39.33395,18.91,4.85,492.3
Loading:get-by-id-creators,1500,2166,0,13295,2252.90,0.467%,37.61095,11.63,4.79,316.6
Loading:create-comic,1500,1975,0,12161,1664.30,0.533%,36.66406,9.40,12.61,262.6
Loading:create-creator,1500,1943,44,14118,1382.04,0.000%,36.44226,10.04,9.75,282.0
Loading:create-character,1500,1773,0,13627,1075.73,0.267%,36.76471,8.91,11.74,248.3
Loading:update-comic,1500,1526,10,10298,846.50,0.333%,37.77196,10.65,13.60,288.7
Loading:update-creator,1500,1227,0,10324,829.86,0.067%,39.87347,11.00,13.19,282.5
Loading:update-character,1500,912,5,12540,829.79,0.000%,44.58447,10.32,14.93,237.0
TOTAL,18000,3067,0,16226,3096.82,1.317%,404.31267,45164.54,90.71,114387.9
